ID,  DATE   ,    TIME_SPENT ,  TASK  
1,07/15/15,01:15:20,Table creation
2,08/03/2015,00:00:01,testing
3,08/03/2015,00:00:00,hi 
4,08/03/2015,00:00:00,start     
5,08/03/2015,00:00:01,ok        
6,08/03/2015,00:00:00,lets see__
7,08/03/2015,00:00:01,again_____
8,08/03/2015,00:00:01,00000000hi
9,08/03/2015,00:00:01,now       
10,08/03/2015,00:00:01,testing   
11,08/03/2015,00:00:01,god       
12,08/03/2015,00:00:02,let me    
13,08/03/2015,00:00:00,checking  
14,08/03/2015,00:00:00,tech 
15,08/03/2015,00:00:00,task
16,08/04/2015,00:00:01,good
17,08/04/2015,00:00:00,fine
